"","Method","Participant","Day","Metric","Trial","Value"
"27","TRAD","P5","D2","Net Force at 100ms [N]","Trial 1",410.921961164987
"28","TRAD","P19","D2","Net Peak Vertical Force [N]","Trial 1",2572.76747178524
"29","TRAD","P30","D2","Net Force at 100ms [N]","Trial 2",662.974631952029
"30","TRAD","P24","D2","Net Peak Vertical Force [N]","Trial 2",2482.2255750021
"31","TRAD","P20","D2","Net Force at 100ms [N]","Trial 3",782.894041991606
"32","TRAD","P3","D2","Net Peak Vertical Force [N]","Trial 3",2536.67365318919
"33","SHORT","P8","D1","Net Force at 100ms [N]","Trial 1",629.374066614686
"34","SHORT","P13","D1","Net Force at 100ms [N]","Trial 2",578.466272415221
"35","SHORT","P26","D1","Net Force at 100ms [N]","Trial 3",695.247352237254
"36","SHORT","P28","D1","Net Force at 100ms [N]","Trial 4",684.600146973366
"37","SHORT","P1","D1","Net Force at 100ms [N]","Trial 5",262.865098648192
"38","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 1",2276.72241304591
"39","SHORT","P2","D1","Net Peak Vertical Force [N]","Trial 2",2209.90959206689
"40","SHORT","P1","D1","Net Peak Vertical Force [N]","Trial 3",2376.26376266051
"41","SHORT","P28","D1","Net Peak Vertical Force [N]","Trial 4",2773.97220730595
"42","SHORT","P24","D1","Net Peak Vertical Force [N]","Trial 5",2204.69887443208
"43","TRAD","P6","D1","Net Force at 100ms [N]","Trial 1",379.63504418917
"44","TRAD","P5","D1","Net Force at 100ms [N]","Trial 2",138.359245518129
"45","TRAD","P30","D1","Net Force at 100ms [N]","Trial 3",490.754677701462
"46","TRAD","P3","D1","Net Peak Vertical Force [N]","Trial 1",3223.70410468634
"47","TRAD","P23","D1","Net Peak Vertical Force [N]","Trial 2",3138.00717603467
"48","TRAD","P21","D1","Net Peak Vertical Force [N]","Trial 3",2748.49227374867
"49","SHORT","P25","D2","Net Force at 100ms [N]","Trial 1",706.459116850188
"50","SHORT","P31","D2","Net Force at 100ms [N]","Trial 2",523.157349608839
"51","SHORT","P18","D2","Net Force at 100ms [N]","Trial 3",645.523550887406
"52","SHORT","P20","D2","Net Force at 100ms [N]","Trial 4",583.639747079462
"53","SHORT","P16","D2","Net Force at 100ms [N]","Trial 5",556.864658760279
"54","SHORT","P3","D2","Net Peak Vertical Force [N]","Trial 1",2109.59245683923
"55","SHORT","P4","D2","Net Peak Vertical Force [N]","Trial 2",2418.61009464492
"56","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 3",2450.68642547503
"57","SHORT","P10","D2","Net Peak Vertical Force [N]","Trial 4",2153.08644564548
"58","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 5",2369.38539844891
"59","TRAD","P16","D2","Net Force at 100ms [N]","Trial 1",515.908277266286
"60","TRAD","P4","D2","Net Force at 100ms [N]","Trial 2",404.553427235317
"61","TRAD","P22","D2","Net Force at 100ms [N]","Trial 3",195.616819676757
"62","TRAD","P25","D2","Net Peak Vertical Force [N]","Trial 1",3381.07653824417
"63","TRAD","P25","D2","Net Peak Vertical Force [N]","Trial 2",3458.34221208915
"64","TRAD","P32","D2","Net Peak Vertical Force [N]","Trial 3",3423.95171179166
"65","SHORT","P29","D1","Net Force at 100ms [N]","Trial 1",241.160994268209
"66","SHORT","P3","D1","Net Force at 100ms [N]","Trial 2",325.929526884109
"67","SHORT","P26","D1","Net Force at 100ms [N]","Trial 3",540.968909223564
"68","SHORT","P2","D1","Net Force at 100ms [N]","Trial 4",407.272614632733
"69","SHORT","P7","D1","Net Force at 100ms [N]","Trial 5",477.375082952343
"70","SHORT","P5","D1","Net Peak Vertical Force [N]","Trial 1",1585.22123886431
"71","SHORT","P26","D1","Net Peak Vertical Force [N]","Trial 2",1591.220264557
"72","SHORT","P7","D1","Net Peak Vertical Force [N]","Trial 3",1519.95254311245
"73","SHORT","P7","D1","Net Peak Vertical Force [N]","Trial 4",1601.19590251073
"74","SHORT","P1","D1","Net Peak Vertical Force [N]","Trial 5",1293.40554512702
"75","TRAD","P2","D1","Net Force at 100ms [N]","Trial 1",308.104333779775
"76","TRAD","P13","D1","Net Peak Vertical Force [N]","Trial 1",1745.37961846148
"77","TRAD","P17","D1","Net Force at 100ms [N]","Trial 2",255.153887733445
"78","TRAD","P10","D1","Net Peak Vertical Force [N]","Trial 2",1685.53588472391
"79","TRAD","P6","D1","Net Force at 100ms [N]","Trial 3",399.3047216204
"80","TRAD","P22","D1","Net Peak Vertical Force [N]","Trial 3",1939.15103067709
"81","SHORT","P7","D2","Net Force at 100ms [N]","Trial 1",209.910847512726
"82","SHORT","P32","D2","Net Force at 100ms [N]","Trial 2",297.637931364682
"83","SHORT","P22","D2","Net Force at 100ms [N]","Trial 3",391.657250971301
"84","SHORT","P17","D2","Net Force at 100ms [N]","Trial 4",407.78689680174
"85","SHORT","P30","D2","Net Force at 100ms [N]","Trial 5",299.024799787626
"86","SHORT","P32","D2","Net Peak Vertical Force [N]","Trial 1",1453.95348705081
"87","SHORT","P3","D2","Net Peak Vertical Force [N]","Trial 2",1588.13019907847
"88","SHORT","P13","D2","Net Peak Vertical Force [N]","Trial 3",1469.88178291698
"89","SHORT","P27","D2","Net Peak Vertical Force [N]","Trial 4",1703.77481576242
"90","SHORT","P20","D2","Net Peak Vertical Force [N]","Trial 5",1639.89585366799
"91","TRAD","P1","D2","Net Force at 100ms [N]","Trial 1",126.412638535537
"92","TRAD","P21","D2","Net Peak Vertical Force [N]","Trial 1",1990.48083979078
"93","TRAD","P5","D2","Net Force at 100ms [N]","Trial 2",211.161510180077
"94","TRAD","P12","D2","Net Peak Vertical Force [N]","Trial 2",2185.61581169232
"95","TRAD","P5","D2","Net Force at 100ms [N]","Trial 3",252.686685689539
"96","TRAD","P28","D2","Net Peak Vertical Force [N]","Trial 3",2092.69643373569
"97","SHORT","P13","D1","Net Force at 100ms [N]","Trial 1",522.636522847973
"98","SHORT","P15","D1","Net Force at 100ms [N]","Trial 2",438.288901653141
"99","SHORT","P2","D1","Net Force at 100ms [N]","Trial 3",459.911577252299
"100","SHORT","P27","D1","Net Force at 100ms [N]","Trial 4",523.61039295611
"101","SHORT","P16","D1","Net Force at 100ms [N]","Trial 5",396.060473138466
"102","SHORT","P3","D1","Net Peak Vertical Force [N]","Trial 1",1425.58224890786
"103","SHORT","P14","D1","Net Peak Vertical Force [N]","Trial 2",1340.99322922528
"104","SHORT","P23","D1","Net Peak Vertical Force [N]","Trial 3",1270.90094442246
"105","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 4",1296.00052698422
"106","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 5",1210.32139005717
"107","TRAD","P10","D1","Net Force at 100ms [N]","Trial 1",459.297338646138
"108","TRAD","P7","D1","Net Peak Vertical Force [N]","Trial 1",1440.25101896473
"109","TRAD","P27","D1","Net Force at 100ms [N]","Trial 2",383.182991305226
"110","TRAD","P31","D1","Net Peak Vertical Force [N]","Trial 2",1586.64034321122
"111","TRAD","P14","D1","Net Force at 100ms [N]","Trial 3",543.230654024519
"112","TRAD","P18","D1","Net Peak Vertical Force [N]","Trial 3",1812.91019793693
"113","SHORT","P18","D2","Net Force at 100ms [N]","Trial 1",549.431694444269
"114","SHORT","P9","D2","Net Force at 100ms [N]","Trial 2",515.003079738468
"115","SHORT","P20","D2","Net Force at 100ms [N]","Trial 3",392.307160140062
"116","SHORT","P12","D2","Net Force at 100ms [N]","Trial 4",395.19787684381
"117","SHORT","P27","D2","Net Force at 100ms [N]","Trial 5",383.967203007406
"118","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 1",1684.38953999206
"119","SHORT","P13","D2","Net Peak Vertical Force [N]","Trial 2",1573.46938536912
"120","SHORT","P27","D2","Net Peak Vertical Force [N]","Trial 3",1485.63393099234
"121","SHORT","P1","D2","Net Peak Vertical Force [N]","Trial 4",1753.36149161467
"122","SHORT","P29","D2","Net Peak Vertical Force [N]","Trial 5",1399.91618814031
"123","TRAD","P11","D2","Net Force at 100ms [N]","Trial 1",59.6450736969709
"124","TRAD","P23","D2","Net Force at 100ms [N]","Trial 2",355.263850909192
"125","TRAD","P29","D2","Net Force at 100ms [N]","Trial 3",479.963296283176
"126","TRAD","P11","D2","Net Peak Vertical Force [N]","Trial 1",1393.93435526267
"127","TRAD","P18","D2","Net Peak Vertical Force [N]","Trial 2",1510.24543575784
"128","TRAD","P14","D2","Net Peak Vertical Force [N]","Trial 3",1798.67059316542
"129","SHORT","P8","D1","Net Force at 100ms [N]","Trial 1",278.373251123633
"130","SHORT","P8","D1","Net Force at 100ms [N]","Trial 2",1135.51820221776
"131","SHORT","P25","D1","Net Force at 100ms [N]","Trial 3",1018.85802969453
"132","SHORT","P23","D1","Net Force at 100ms [N]","Trial 4",592.578935522027
"133","SHORT","P31","D1","Net Force at 100ms [N]","Trial 5",886.412180832401
"134","SHORT","P10","D1","Net Peak Vertical Force [N]","Trial 1",1867.58559448062
"135","SHORT","P18","D1","Net Peak Vertical Force [N]","Trial 2",1683.09525919715
"136","SHORT","P14","D1","Net Peak Vertical Force [N]","Trial 3",2055.89557978367
"137","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 4",1634.25338555099
"138","SHORT","P4","D1","Net Peak Vertical Force [N]","Trial 5",1923.44595633056
"139","TRAD","P31","D1","Net Force at 100ms [N]","Trial 1",620.8331769499
"140","TRAD","P21","D1","Net Peak Vertical Force [N]","Trial 1",1691.39200251829
"141","TRAD","P28","D1","Net Force at 100ms [N]","Trial 2",938.855819794442
"142","TRAD","P26","D1","Net Peak Vertical Force [N]","Trial 2",1844.85666881697
"143","TRAD","P14","D1","Net Force at 100ms [N]","Trial 3",849.357241018861
"144","TRAD","P29","D1","Net Peak Vertical Force [N]","Trial 3",1853.26754889004
"145","SHORT","P11","D2","Net Force at 100ms [N]","Trial 1",834.370072930679
"146","SHORT","P27","D2","Net Force at 100ms [N]","Trial 2",314.687890073983
"147","SHORT","P23","D2","Net Force at 100ms [N]","Trial 3",908.180746740941
"148","SHORT","P5","D2","Net Force at 100ms [N]","Trial 4",984.692784056999
"149","SHORT","P2","D2","Net Force at 100ms [N]","Trial 5",972.340452055633
"150","SHORT","P9","D2","Net Peak Vertical Force [N]","Trial 1",1923.69625627305
"151","SHORT","P32","D2","Net Peak Vertical Force [N]","Trial 2",1848.64547953103
"152","SHORT","P3","D2","Net Peak Vertical Force [N]","Trial 3",1892.57126172967
"153","SHORT","P31","D2","Net Peak Vertical Force [N]","Trial 4",1768.29212701237
"154","SHORT","P5","D2","Net Peak Vertical Force [N]","Trial 5",1707.25422269944
"155","TRAD","P3","D2","Net Force at 100ms [N]","Trial 1",587.068325677328
"156","TRAD","P22","D2","Net Force at 100ms [N]","Trial 2",725.52733698599
"157","TRAD","P27","D2","Net Force at 100ms [N]","Trial 3",763.61226005014
"158","TRAD","P1","D2","Net Peak Vertical Force [N]","Trial 1",1747.71608467335
"159","TRAD","P28","D2","Net Peak Vertical Force [N]","Trial 2",1886.3001621007
"160","TRAD","P8","D2","Net Peak Vertical Force [N]","Trial 3",1908.00115479031
"161","SHORT","P3","D1","Net Force at 100ms [N]","Trial 1",513.096393614775
"162","SHORT","P28","D1","Net Force at 100ms [N]","Trial 2",695.662629230088
"163","SHORT","P5","D1","Net Force at 100ms [N]","Trial 3",643.394814968109
"164","SHORT","P19","D1","Net Force at 100ms [N]","Trial 4",646.989233569056
"165","SHORT","P17","D1","Net Force at 100ms [N]","Trial 5",546.155865749437
"166","SHORT","P27","D1","Net Peak Vertical Force [N]","Trial 1",1760.59089714084
"167","SHORT","P6","D1","Net Peak Vertical Force [N]","Trial 2",1774.58612702843
"168","SHORT","P11","D1","Net Peak Vertical Force [N]","Trial 3",1919.29060106464
"169","SHORT","P21","D1","Net Peak Vertical Force [N]","Trial 4",1703.20325825196
"170","SHORT","P21","D1","Net Peak Vertical Force [N]","Trial 5",1755.97472356493
"171","TRAD","P11","D1","Net Force at 100ms [N]","Trial 1",529.801893504616
"172","TRAD","P24","D1","Net Force at 100ms [N]","Trial 2",555.712340557948
"173","TRAD","P10","D1","Net Force at 100ms [N]","Trial 3",622.553357560001
"174","TRAD","P31","D1","Net Peak Vertical Force [N]","Trial 1",1944.23890192644
"175","TRAD","P30","D1","Net Peak Vertical Force [N]","Trial 2",2277.19648218411
"176","TRAD","P4","D1","Net Peak Vertical Force [N]","Trial 3",2275.46694513503
"177","SHORT","P6","D2","Net Force at 100ms [N]","Trial 1",651.112881422974
"178","SHORT","P4","D2","Net Force at 100ms [N]","Trial 2",699.794686641544
"179","SHORT","P6","D2","Net Force at 100ms [N]","Trial 3",534.908470959961
"180","SHORT","P7","D2","Net Force at 100ms [N]","Trial 4",670.291539874393
"181","SHORT","P11","D2","Net Force at 100ms [N]","Trial 5",593.264299662039
"182","SHORT","P32","D2","Net Peak Vertical Force [N]","Trial 1",1557.37341767107
"183","SHORT","P20","D2","Net Peak Vertical Force [N]","Trial 2",1920.17574333362
"184","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 3",1791.82222959655
"185","SHORT","P31","D2","Net Peak Vertical Force [N]","Trial 4",1908.36129048467
"186","SHORT","P1","D2","Net Peak Vertical Force [N]","Trial 5",1768.33123749215
"187","TRAD","P25","D2","Net Force at 100ms [N]","Trial 1",732.339791004499
"188","TRAD","P13","D2","Net Force at 100ms [N]","Trial 2",598.904531291127
"189","TRAD","P28","D2","Net Force at 100ms [N]","Trial 3",596.644065085566
"190","TRAD","P25","D2","Net Peak Vertical Force [N]","Trial 1",2045.36985974852
"191","TRAD","P14","D2","Net Peak Vertical Force [N]","Trial 2",2204.5183252045
"192","TRAD","P14","D2","Net Peak Vertical Force [N]","Trial 3",2386.75314682471
"193","SHORT","P10","D1","Net Force at 100ms [N]","Trial 1",373.697218161309
"194","SHORT","P2","D1","Net Force at 100ms [N]","Trial 2",494.519306810154
"195","SHORT","P11","D1","Net Force at 100ms [N]","Trial 3",371.620591982268
"196","SHORT","P15","D1","Net Force at 100ms [N]","Trial 4",486.154355828976
"197","SHORT","P29","D1","Net Force at 100ms [N]","Trial 5",392.53637404684
"198","SHORT","P13","D1","Net Peak Vertical Force [N]","Trial 1",1383.98466716171
"199","SHORT","P17","D1","Net Peak Vertical Force [N]","Trial 2",1664.76326141581
"200","SHORT","P1","D1","Net Peak Vertical Force [N]","Trial 3",1538.76361458004
"201","SHORT","P21","D1","Net Peak Vertical Force [N]","Trial 4",1435.05241515972
"202","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 5",1650.28550302237
"203","TRAD","P16","D1","Net Force at 100ms [N]","Trial 1",184.460273215361
"204","TRAD","P22","D1","Net Force at 100ms [N]","Trial 2",336.932989432802
"205","TRAD","P11","D1","Net Force at 100ms [N]","Trial 3",337.813695609476
"206","TRAD","P29","D1","Net Peak Vertical Force [N]","Trial 1",1012.30745909102
"207","TRAD","P12","D1","Net Peak Vertical Force [N]","Trial 2",1350.47949912772
"208","TRAD","P4","D1","Net Peak Vertical Force [N]","Trial 3",1371.00004467256
"209","SHORT","P32","D2","Net Force at 100ms [N]","Trial 1",382.336397088692
"210","SHORT","P3","D2","Net Force at 100ms [N]","Trial 2",255.252602803381
"211","SHORT","P30","D2","Net Force at 100ms [N]","Trial 3",369.749667600263
"212","SHORT","P9","D2","Net Force at 100ms [N]","Trial 4",304.633243827149
"213","SHORT","P4","D2","Net Force at 100ms [N]","Trial 5",374.584399305843
"214","SHORT","P3","D2","Net Peak Vertical Force [N]","Trial 1",1221.77939249254
"215","SHORT","P7","D2","Net Peak Vertical Force [N]","Trial 2",1144.46268122951
"216","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 3",1350.52139243763
"217","SHORT","P12","D2","Net Peak Vertical Force [N]","Trial 4",1249.33290408463
"218","SHORT","P14","D2","Net Peak Vertical Force [N]","Trial 5",1412.515065342
"219","TRAD","P12","D2","Net Force at 100ms [N]","Trial 1",340.254305610713
"220","TRAD","P1","D2","Net Force at 100ms [N]","Trial 2",426.748103691498
"221","TRAD","P1","D2","Net Force at 100ms [N]","Trial 3",414.239308354072
"222","TRAD","P4","D2","Net Peak Vertical Force [N]","Trial 1",1299.90570826838
"223","TRAD","P27","D2","Net Peak Vertical Force [N]","Trial 2",1332.67305339873
"224","TRAD","P21","D2","Net Peak Vertical Force [N]","Trial 3",1309.75991746504
"225","SHORT","P6","D1","Net Force at 100ms [N]","Trial 1",548.039735199139
"226","SHORT","P27","D1","Net Force at 100ms [N]","Trial 2",701.95457864888
"227","SHORT","P12","D1","Net Force at 100ms [N]","Trial 3",832.255316664698
"228","SHORT","P13","D1","Net Force at 100ms [N]","Trial 4",794.825736598391
"229","SHORT","P4","D1","Net Force at 100ms [N]","Trial 5",701.762768702116
"230","SHORT","P30","D1","Net Peak Vertical Force [N]","Trial 1",1273.36930797477
"231","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 2",1267.73245185041
"232","SHORT","P29","D1","Net Peak Vertical Force [N]","Trial 3",1515.62713248213
"233","SHORT","P22","D1","Net Peak Vertical Force [N]","Trial 4",1430.99596973527
"234","SHORT","P29","D1","Net Peak Vertical Force [N]","Trial 5",1499.05421682186
"235","TRAD","P7","D1","Net Force at 100ms [N]","Trial 1",418.445352557395
"236","TRAD","P20","D1","Net Force at 100ms [N]","Trial 2",602.635961226979
"237","TRAD","P1","D1","Net Force at 100ms [N]","Trial 3",734.991440298548
"238","TRAD","P23","D1","Net Peak Vertical Force [N]","Trial 1",1291.61493305047
"239","TRAD","P17","D1","Net Peak Vertical Force [N]","Trial 2",1566.44348310786
"240","TRAD","P30","D1","Net Peak Vertical Force [N]","Trial 3",1287.21793250763
"241","SHORT","P18","D2","Net Force at 100ms [N]","Trial 1",845.472688951343
"242","SHORT","P3","D2","Net Force at 100ms [N]","Trial 2",828.702013172442
"243","SHORT","P22","D2","Net Force at 100ms [N]","Trial 3",764.87492864253
"244","SHORT","P16","D2","Net Force at 100ms [N]","Trial 4",633.334017441049
"245","SHORT","P21","D2","Net Force at 100ms [N]","Trial 5",671.351193124149
"246","SHORT","P22","D2","Net Peak Vertical Force [N]","Trial 1",1493.77479309719
"247","SHORT","P5","D2","Net Peak Vertical Force [N]","Trial 2",1428.61030616323
"248","SHORT","P8","D2","Net Peak Vertical Force [N]","Trial 3",1462.70263106329
"249","SHORT","P4","D2","Net Peak Vertical Force [N]","Trial 4",1605.95452600196
"250","SHORT","P7","D2","Net Peak Vertical Force [N]","Trial 5",1362.22817663103
"251","TRAD","P20","D2","Net Force at 100ms [N]","Trial 1",511.362788116978
"252","TRAD","P4","D2","Net Force at 100ms [N]","Trial 2",659.767360622063
"253","TRAD","P27","D2","Net Force at 100ms [N]","Trial 3",625.791412985232
"254","TRAD","P5","D2","Net Peak Vertical Force [N]","Trial 1",1450.63251957837
"255","TRAD","P26","D2","Net Peak Vertical Force [N]","Trial 2",1644.54080605945
"256","TRAD","P20","D2","Net Peak Vertical Force [N]","Trial 3",1655.91455028388
"257","SHORT","P9","D1","Net Force at 100ms [N]","Trial 1",1247.00627692603
"258","SHORT","P10","D1","Net Force at 100ms [N]","Trial 2",1307.841463337
"259","SHORT","P30","D1","Net Force at 100ms [N]","Trial 3",354.990914897434
"260","SHORT","P5","D1","Net Force at 100ms [N]","Trial 4",1144.7715380542
"261","SHORT","P9","D1","Net Force at 100ms [N]","Trial 5",1293.51446845368
"262","SHORT","P2","D1","Net Peak Vertical Force [N]","Trial 1",2068.2285241764
"263","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 2",2133.52333583273
"264","SHORT","P3","D1","Net Peak Vertical Force [N]","Trial 3",2411.90961240605
"265","SHORT","P8","D1","Net Peak Vertical Force [N]","Trial 4",1896.81603750028
"266","SHORT","P14","D1","Net Peak Vertical Force [N]","Trial 5",1875.8092841805
"267","TRAD","P18","D1","Net Force at 100ms [N]","Trial 1",1059.5206002756
"268","TRAD","P8","D1","Net Force at 100ms [N]","Trial 2",1044.63367965859
"269","TRAD","P20","D1","Net Force at 100ms [N]","Trial 3",1378.80049080611
"270","TRAD","P10","D1","Net Peak Vertical Force [N]","Trial 1",2283.43570980467
"271","TRAD","P28","D1","Net Peak Vertical Force [N]","Trial 2",2865.96474227631
"272","TRAD","P19","D1","Net Peak Vertical Force [N]","Trial 3",2875.24986864999
"273","SHORT","P4","D2","Net Force at 100ms [N]","Trial 1",1270.6535326506
"274","SHORT","P14","D2","Net Force at 100ms [N]","Trial 2",1021.30962851085
"275","SHORT","P29","D2","Net Force at 100ms [N]","Trial 3",874.549470428377
"276","SHORT","P21","D2","Net Force at 100ms [N]","Trial 4",898.113076278195
"277","SHORT","P1","D2","Net Force at 100ms [N]","Trial 5",1134.72883832455
"278","SHORT","P18","D2","Net Peak Vertical Force [N]","Trial 1",2763.54584449637
"279","SHORT","P23","D2","Net Peak Vertical Force [N]","Trial 2",1955.4358099645
"280","SHORT","P16","D2","Net Peak Vertical Force [N]","Trial 3",2040.65691284942
"281","SHORT","P5","D2","Net Peak Vertical Force [N]","Trial 4",2274.18550210474
"282","SHORT","P24","D2","Net Peak Vertical Force [N]","Trial 5",2448.28986970275
"283","TRAD","P4","D2","Net Force at 100ms [N]","Trial 1",975.468951690011
"284","TRAD","P31","D2","Net Force at 100ms [N]","Trial 2",985.476205584407
"285","TRAD","P3","D2","Net Force at 100ms [N]","Trial 3",876.645027768146
"286","TRAD","P5","D2","Net Peak Vertical Force [N]","Trial 1",2638.72737584934
"287","TRAD","P15","D2","Net Peak Vertical Force [N]","Trial 2",2520.76383029073
"288","TRAD","P13","D2","Net Peak Vertical Force [N]","Trial 3",2564.84929961544
"289","SHORT","P2","D1","Net Force at 100ms [N]","Trial 1",759.701582365436
"290","SHORT","P32","D1","Net Force at 100ms [N]","Trial 2",623.012777315732
"291","SHORT","P9","D1","Net Force at 100ms [N]","Trial 3",647.533069704194
"292","SHORT","P3","D1","Net Force at 100ms [N]","Trial 4",596.8178695729
"293","SHORT","P1","D1","Net Force at 100ms [N]","Trial 5",809.782375096157
"294","SHORT","P20","D1","Net Peak Vertical Force [N]","Trial 1",1650.82800244931
"295","SHORT","P25","D1","Net Peak Vertical Force [N]","Trial 2",1659.54986194186
"296","SHORT","P8","D1","Net Peak Vertical Force [N]","Trial 3",1828.12287236555
"297","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 4",1714.8570289514
"298","SHORT","P14","D1","Net Peak Vertical Force [N]","Trial 5",1903.94110403471
"299","TRAD","P21","D1","Net Force at 100ms [N]","Trial 1",725.087509177718
"300","TRAD","P32","D1","Net Force at 100ms [N]","Trial 2",499.289467216283
"301","TRAD","P32","D1","Net Force at 100ms [N]","Trial 3",894.435130189173
"302","TRAD","P8","D1","Net Peak Vertical Force [N]","Trial 1",2398.31466833353
"303","TRAD","P9","D1","Net Peak Vertical Force [N]","Trial 2",2424.83156181797
"304","TRAD","P10","D1","Net Peak Vertical Force [N]","Trial 3",2046.33138619638
"305","SHORT","P5","D2","Net Force at 100ms [N]","Trial 1",800.465538990498
"306","SHORT","P6","D2","Net Force at 100ms [N]","Trial 2",785.470173700992
"307","SHORT","P16","D2","Net Force at 100ms [N]","Trial 3",682.690639917087
"308","SHORT","P30","D2","Net Force at 100ms [N]","Trial 4",705.442097424343
"309","SHORT","P19","D2","Net Force at 100ms [N]","Trial 5",518.227978409082
"310","SHORT","P7","D2","Net Peak Vertical Force [N]","Trial 1",2173.05980520127
"311","SHORT","P5","D2","Net Peak Vertical Force [N]","Trial 2",1888.5019114919
"312","SHORT","P10","D2","Net Peak Vertical Force [N]","Trial 3",1758.74241151284
"313","SHORT","P19","D2","Net Peak Vertical Force [N]","Trial 4",1641.40176042179
"314","SHORT","P11","D2","Net Peak Vertical Force [N]","Trial 5",1581.11068985965
"315","TRAD","P5","D2","Net Force at 100ms [N]","Trial 1",258.952937280061
"316","TRAD","P10","D2","Net Force at 100ms [N]","Trial 2",416.932454333315
"317","TRAD","P17","D2","Net Force at 100ms [N]","Trial 3",629.605054983869
"318","TRAD","P22","D2","Net Peak Vertical Force [N]","Trial 1",2190.63420563564
"319","TRAD","P6","D2","Net Peak Vertical Force [N]","Trial 2",2260.19387484528
"320","TRAD","P17","D2","Net Peak Vertical Force [N]","Trial 3",2378.78250354314
"321","SHORT","P2","D1","Net Force at 100ms [N]","Trial 1",144.391938051488
"322","SHORT","P2","D1","Net Force at 100ms [N]","Trial 2",157.983885727823
"323","SHORT","P17","D1","Net Force at 100ms [N]","Trial 3",456.387139876699
"324","SHORT","P28","D1","Net Force at 100ms [N]","Trial 4",617.064053895045
"325","SHORT","P21","D1","Net Force at 100ms [N]","Trial 5",420.992191593954
"326","SHORT","P26","D1","Net Peak Vertical Force [N]","Trial 1",1745.02421774743
"327","SHORT","P26","D1","Net Peak Vertical Force [N]","Trial 2",1639.63195222896
"328","SHORT","P7","D1","Net Peak Vertical Force [N]","Trial 3",1616.28765322287
"329","SHORT","P17","D1","Net Peak Vertical Force [N]","Trial 4",1595.69446256566
"330","SHORT","P6","D1","Net Peak Vertical Force [N]","Trial 5",1796.50685896291
"331","TRAD","P27","D1","Net Force at 100ms [N]","Trial 1",205.95907962569
"332","TRAD","P2","D1","Net Force at 100ms [N]","Trial 2",123.077230826393
"333","TRAD","P12","D1","Net Force at 100ms [N]","Trial 3",209.836843980476
"334","TRAD","P9","D1","Net Peak Vertical Force [N]","Trial 1",1626.56639823015
"335","TRAD","P29","D1","Net Peak Vertical Force [N]","Trial 2",1601.61364528029
